casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Fatal,Female,28,26 - 35,"In carriageway, not crossing",Unknown or other,2023-07-27T22:34:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,78,Male,9
Fatal,Female,28,26 - 35,"In carriageway, not crossing",Unknown or other,2023-07-27T22:34:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,30,Not known,8
Fatal,Female,28,26 - 35,"In carriageway, not crossing",Unknown or other,2023-07-27T22:34:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,40,Male,21
Serious,Female,71,66 - 75,Within 50m. of crossing,From drivers offside,2023-12-11T12:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,43,Male,11
Serious,Female,28,26 - 35,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-12-07T18:07:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,71,Male,9
Fatal,Male,92,Over 75,Unknown or other,Unknown or other,2023-08-19T09:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,3
Fatal,Male,92,Over 75,Unknown or other,Unknown or other,2023-08-19T09:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,50,Female,9
Fatal,Male,36,36 - 45,"In carriageway, not crossing",Unknown or other,2023-08-12T01:02:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,24,Male,9
Serious,Male,69,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-16T12:00:00Z,Daylight,Fine no high winds,Urban,Wet or damp,NA,24,Female,9
Fatal,Male,26,26 - 35,"In carriageway, crossing elsewhere",Unknown or other,2023-02-17T21:45:00Z,Darkness - no lighting,Fine no high winds,Rural,Wet or damp,None,58,Male,9
Serious,Female,66,66 - 75,On footway or verge,Unknown or other,2023-12-21T17:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,22
Fatal,Male,79,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-06-08T09:35:00Z,Daylight,Fine no high winds,Urban,Dry,None,53,Male,21
Serious,Female,75,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-10-25T10:07:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,38,Female,9
Serious,Female,69,66 - 75,Within 50m. of crossing,From drivers offside,2023-07-25T12:50:00Z,Daylight,Fine no high winds,Rural,Dry,None,74,Male,9
Serious,Male,59,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-07-23T13:40:00Z,Daylight,Raining no high winds,Rural,Wet or damp,None,39,Female,9
Slight,Female,21,21 - 25,Unknown or other,Unknown or other,2023-10-22T00:50:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,8
Serious,Female,16,16 - 20,"In carriageway, crossing elsewhere",From drivers offside,2023-01-11T15:47:00Z,Daylight,Raining high winds,Urban,Wet or damp,None,23,Male,9
Serious,Male,93,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-12-08T09:12:00Z,Daylight,Fine no high winds,Urban,Dry,NA,40,Male,19
Serious,Female,43,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-22T15:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,55,46 - 55,On pedestrian crossing facility,Unknown or other,2023-11-09T16:40:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,-1,Not known,90
Serious,Female,11,11 - 15,"In carriageway, crossing elsewhere",From drivers offside,2023-10-10T18:29:00Z,Daylight,Fine no high winds,Urban,Dry,None,31,Male,19
Slight,Male,54,46 - 55,On pedestrian crossing facility,From drivers offside,2023-04-30T18:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,31,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-07T17:10:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,-1,Not known,9
Slight,Female,52,46 - 55,"In carriageway, crossing elsewhere",From drivers offside,2023-11-18T21:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,40,Female,9
Slight,Female,56,56 - 65,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Slight,Female,14,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Slight,Male,12,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Slight,Female,23,21 - 25,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Female,13,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Female,22,21 - 25,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,NA,22,21 - 25,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Male,13,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Female,13,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Male,56,56 - 65,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Serious,Female,13,11 - 15,On footway or verge,Unknown or other,2023-06-24T22:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,9
Fatal,Male,82,Over 75,Within 50m. of crossing,From drivers nearside,2023-09-30T08:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,56,Male,11
Fatal,Male,82,Over 75,Within 50m. of crossing,From drivers nearside,2023-09-30T08:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,25,Male,9
